RANKING IDHM 2010,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM 2010,IDHM RENDA 2010,IDHM LONGEVIDADE 2010,IDHM EDUCAÇÃO 2010,MERGE,,MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
3796,270060,BARRA DE SÃO MIGUEL,AL,"0,615","0,638","0,767","0,475",AL-BARRA DE SÃO MIGUEL,1,AL-BARRA DE SÃO MIGUEL,1655,270060, AL,BARRA DE SÃO MIGUEL,BARRA DE SÃO MIGUEL,-35.8868819,-9.8348619
4284,270070,BATALHA,AL,"0,594","0,563","0,752","0,496",AL-BATALHA,1,AL-BATALHA,1656,270070, AL,BATALHA,BATALHA,-8.8241243,39.6582957
4309,270080,BELÉM,AL,"0,593","0,587","0,764","0,464",AL-BELÉM,1,AL-BELÉM,1657,270080, AL,BELÉM,BELÉM,-9.2203687,38.6991685
5473,270090,BELO MONTE,AL,"0,517","0,507","0,725","0,376",AL-BELO MONTE,1,AL-BELO MONTE,1658,270090, AL,BELO MONTE,BELO MONTE,-51.774158,-3.081171
4055,270100,BOCA DA MATA,AL,"0,604","0,560","0,758","0,518",AL-BOCA DA MATA,1,AL-BOCA DA MATA,1659,270100, AL,BOCA DA MATA,BOCA DA MATA,-36.1335683,-9.6615919
5490,270110,BRANQUINHA,AL,"0,513","0,534","0,699","0,362",AL-BRANQUINHA,1,AL-BRANQUINHA,1660,270110, AL,BRANQUINHA,BRANQUINHA,-36.0240861,-9.2340329
5390,270120,CACIMBINHAS,AL,"0,531","0,559","0,697","0,384",AL-CACIMBINHAS,1,AL-CACIMBINHAS,1661,270120, AL,CACIMBINHAS,CACIMBINHAS,-36.9913009,-9.4018884
5002,270130,CAJUEIRO,AL,"0,562","0,542","0,691","0,473",AL-CAJUEIRO,1,AL-CAJUEIRO,1662,270130, AL,CAJUEIRO,CAJUEIRO,-36.1451365,-9.398546
5066,270135,CAMPESTRE,AL,"0,559","0,550","0,729","0,435",AL-CAMPESTRE,1,AL-CAMPESTRE,1663,270135, AL,CAMPESTRE,CAMPESTRE,-94.5240376,38.8871713
4841,270140,CAMPO ALEGRE,AL,"0,570","0,531","0,742","0,470",AL-CAMPO ALEGRE,1,AL-CAMPO ALEGRE,1664,270140, AL,CAMPO ALEGRE,CAMPO ALEGRE,-68.9415326,12.1782095
5439,270150,CAMPO GRANDE,AL,"0,524","0,502","0,739","0,387",AL-CAMPO GRANDE,1,AL-CAMPO GRANDE,1665,270150, AL,CAMPO GRANDE,CAMPO GRANDE,-54.6201211,-20.4697105
5510,270160,CANAPI,AL,"0,506","0,504","0,719","0,357",AL-CANAPI,1,AL-CANAPI,1666,270160, AL,CANAPI,CANAPI,-81.5416501,41.0960406
4786,270170,CAPELA,AL,"0,573","0,554","0,743","0,456",AL-CAPELA,1,AL-CAPELA,1667,270170, AL,CAPELA,CAPELA,-95.396166,29.737615
5426,270180,CARNEIROS,AL,"0,526","0,517","0,709","0,398",AL-CARNEIROS,1,AL-CARNEIROS,1668,270180, AL,CARNEIROS,CARNEIROS,-35.079569,-8.7033718
4742,270190,CHÃ PRETA,AL,"0,575","0,537","0,737","0,481",AL-CHÃ PRETA,1,AL-CHÃ PRETA,1669,270190, AL,CHÃ PRETA,CHÃ PRETA,-36.2987092,-9.2571423
5370,270200,COITÉ DO NÓIA,AL,"0,533","0,520","0,730","0,398",AL-COITÉ DO NÓIA,1,AL-COITÉ DO NÓIA,1670,270200, AL,COITÉ DO NÓIA,COITÉ DO NÓIA,-36.5877948,-9.6136495
5473,270210,COLÔNIA LEOPOLDINA,AL,"0,517","0,548","0,693","0,363",AL-COLÔNIA LEOPOLDINA,1,AL-COLÔNIA LEOPOLDINA,1671,270210, AL,COLÔNIA LEOPOLDINA,COLÔNIA LEOPOLDINA,-35.7205944,-8.9137654
4495,270220,COQUEIRO SECO,AL,"0,586","0,582","0,757","0,457",AL-COQUEIRO SECO,1,AL-COQUEIRO SECO,1672,270220, AL,COQUEIRO SECO,COQUEIRO SECO,-35.7997778,-9.6380585
3561,270230,CORURIPE,AL,"0,626","0,591","0,769","0,541",AL-CORURIPE,1,AL-CORURIPE,1673,270230, AL,CORURIPE,CORURIPE,-36.1761209,-10.1250057
5432,270235,CRAÍBAS,AL,"0,525","0,517","0,687","0,408",AL-CRAÍBAS,1,AL-CRAÍBAS,1674,270235, AL,CRAÍBAS,CRAÍBAS,-36.7667073,-9.6177297
3866,270240,DELMIRO GOUVEIA,AL,"0,612","0,599","0,774","0,494",AL-DELMIRO GOUVEIA,1,AL-DELMIRO GOUVEIA,1675,270240, AL,DELMIRO GOUVEIA,DELMIRO GOUVEIA,-38.0007321,-9.3796624
5382,270250,DOIS RIACHOS,AL,"0,532","0,513","0,762","0,385",AL-DOIS RIACHOS,1,AL-DOIS RIACHOS,1676,270250, AL,DOIS RIACHOS,DOIS RIACHOS,-37.0896115,-9.3894423
5366,270255,ESTRELA DE ALAGOAS,AL,"0,534","0,515","0,720","0,410",AL-ESTRELA DE ALAGOAS,1,AL-ESTRELA DE ALAGOAS,1677,270255, AL,ESTRELA DE ALAGOAS,ESTRELA DE ALAGOAS,-36.7604027,-9.4071279
5370,270260,FEIRA GRANDE,AL,"0,533","0,512","0,736","0,402",AL-FEIRA GRANDE,1,AL-FEIRA GRANDE,1678,270260, AL,FEIRA GRANDE,FEIRA GRANDE,-36.6764376,-9.9009938
4941,270270,FELIZ DESERTO,AL,"0,565","0,550","0,708","0,462",AL-FELIZ DESERTO,1,AL-FELIZ DESERTO,1679,270270, AL,FELIZ DESERTO,FELIZ DESERTO,-36.3031172,-10.293923
5416,270280,FLEXEIRAS,AL,"0,527","0,528","0,693","0,400",AL-FLEXEIRAS,1,AL-FLEXEIRAS,1680,270280, AL,FLEXEIRAS,FLEXEIRAS,-35.723615,-9.2772745
5354,270290,GIRAU DO PONCIANO,AL,"0,536","0,498","0,762","0,405",AL-GIRAU DO PONCIANO,1,AL-GIRAU DO PONCIANO,1681,270290, AL,GIRAU DO PONCIANO,GIRAU DO PONCIANO,-36.8305595,-9.8828308
5467,270300,IBATEGUARA,AL,"0,518","0,517","0,684","0,393",AL-IBATEGUARA,1,AL-IBATEGUARA,1682,270300, AL,IBATEGUARA,IBATEGUARA,-35.9309471,-8.9734494
4965,270310,IGACI,AL,"0,564","0,547","0,774","0,424",AL-IGACI,1,AL-IGACI,1683,270310, AL,IGACI,IGACI,-36.6741487,-9.5287917
4884,270320,IGREJA NOVA,AL,"0,568","0,556","0,771","0,428",AL-IGREJA NOVA,1,AL-IGREJA NOVA,1684,270320, AL,IGREJA NOVA,IGREJA NOVA,-36.5661908,-10.0830464
5550,270330,INHAPI,AL,"0,484","0,501","0,718","0,316",AL-INHAPI,1,AL-INHAPI,1685,270330, AL,INHAPI,INHAPI,-37.681228,-9.2766863
4562,270340,JACARÉ DOS HOMENS,AL,"0,583","0,543","0,759","0,481",AL-JACARÉ DOS HOMENS,1,AL-JACARÉ DOS HOMENS,1686,270340, AL,JACARÉ DOS HOMENS,JACARÉ DOS HOMENS,-37.2052559,-9.6358282
5225,270350,JACUÍPE,AL,"0,548","0,532","0,755","0,410",AL-JACUÍPE,1,AL-JACUÍPE,1687,270350, AL,JACUÍPE,JACUÍPE,-38.1338576,-12.7030656
4841,270360,JAPARATINGA,AL,"0,570","0,560","0,735","0,451",AL-JAPARATINGA,1,AL-JAPARATINGA,1688,270360, AL,JAPARATINGA,JAPARATINGA,-35.2580917,-9.089797
5169,270370,JARAMATAIA,AL,"0,552","0,532","0,701","0,451",AL-JARAMATAIA,1,AL-JARAMATAIA,1689,270370, AL,JARAMATAIA,JARAMATAIA,-37.0023393,-9.6597509
5116,270375,JEQUIÁ DA PRAIA,AL,"0,556","0,517","0,772","0,430",AL-JEQUIÁ DA PRAIA,1,AL-JEQUIÁ DA PRAIA,1690,270375, AL,JEQUIÁ DA PRAIA,JEQUIÁ DA PRAIA,-36.11108,-9.8964713
