RANKING IDHM 2010,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM 2010,IDHM RENDA 2010,IDHM LONGEVIDADE 2010,IDHM EDUCAÇÃO 2010,MERGE,,MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
2481,320013,ÁGUIA BRANCA,ES,"0,678","0,660","0,792","0,595",ES-ÁGUIA BRANCA,1,ES-ÁGUIA BRANCA,3098,320013, ES,ÁGUIA BRANCA,ÁGUIA BRANCA,-62.1688572,-12.607055
1266,320020,ALEGRE,ES,"0,721","0,708","0,839","0,630",ES-ALEGRE,1,ES-ALEGRE,3100,320020, ES,ALEGRE,ALEGRE,-62.1688572,-12.607055
1595,320030,ALFREDO CHAVES,ES,"0,710","0,703","0,832","0,611",ES-ALFREDO CHAVES,1,ES-ALFREDO CHAVES,3101,320030, ES,ALFREDO CHAVES,ALFREDO CHAVES,-62.1688572,-12.607055
2802,320035,ALTO RIO NOVO,ES,"0,664","0,634","0,815","0,567",ES-ALTO RIO NOVO,1,ES-ALTO RIO NOVO,3102,320035, ES,ALTO RIO NOVO,ALTO RIO NOVO,-62.1688572,-12.607055
1021,320040,ANCHIETA,ES,"0,730","0,696","0,856","0,654",ES-ANCHIETA,1,ES-ANCHIETA,3103,320040, ES,ANCHIETA,ANCHIETA,-62.1688572,-12.607055
2598,320050,APIACÁ,ES,"0,673","0,659","0,841","0,549",ES-APIACÁ,1,ES-APIACÁ,3104,320050, ES,APIACÁ,APIACÁ,-62.1688572,-12.607055
508,320060,ARACRUZ,ES,"0,752","0,717","0,838","0,707",ES-ARACRUZ,1,ES-ARACRUZ,3105,320060, ES,ARACRUZ,ARACRUZ,-62.1688572,-12.607055
1665,320070,ATILIO VIVACQUA,ES,"0,708","0,663","0,841","0,637",ES-ATILIO VIVACQUA,1,ES-ATILIO VIVACQUA,3106,320070, ES,ATILIO VIVACQUA,ATILIO VIVACQUA,-62.1688572,-12.607055
1842,320080,BAIXO GUANDU,ES,"0,702","0,670","0,811","0,637",ES-BAIXO GUANDU,1,ES-BAIXO GUANDU,3107,320080, ES,BAIXO GUANDU,BAIXO GUANDU,-62.1688572,-12.607055
2359,320090,BARRA DE SÃO FRANCISCO,ES,"0,683","0,673","0,815","0,580",ES-BARRA DE SÃO FRANCISCO,1,ES-BARRA DE SÃO FRANCISCO,3108,320090, ES,BARRA DE SÃO FRANCISCO,BARRA DE SÃO FRANCISCO,-62.1688572,-12.607055
2462,320100,BOA ESPERANÇA,ES,"0,679","0,651","0,816","0,590",ES-BOA ESPERANÇA,1,ES-BOA ESPERANÇA,3109,320100, ES,BOA ESPERANÇA,BOA ESPERANÇA,-62.1688572,-12.607055
920,320110,BOM JESUS DO NORTE,ES,"0,734","0,689","0,854","0,673",ES-BOM JESUS DO NORTE,1,ES-BOM JESUS DO NORTE,3110,320110, ES,BOM JESUS DO NORTE,BOM JESUS DO NORTE,-62.1688572,-12.607055
2986,320115,BREJETUBA,ES,"0,656","0,630","0,828","0,540",ES-BREJETUBA,1,ES-BREJETUBA,3111,320115, ES,BREJETUBA,BREJETUBA,-62.1688572,-12.607055
628,320120,CACHOEIRO DE ITAPEMIRIM,ES,"0,746","0,733","0,837","0,677",ES-CACHOEIRO DE ITAPEMIRIM,1,ES-CACHOEIRO DE ITAPEMIRIM,3112,320120, ES,CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,-62.1688572,-12.607055
1362,320130,CARIACICA,ES,"0,718","0,699","0,844","0,628",ES-CARIACICA,1,ES-CARIACICA,3113,320130, ES,CARIACICA,CARIACICA,-62.1688572,-12.607055
1133,320140,CASTELO,ES,"0,726","0,703","0,852","0,639",ES-CASTELO,1,ES-CASTELO,3114,320140, ES,CASTELO,CASTELO,-62.1688572,-12.607055
628,320150,COLATINA,ES,"0,746","0,738","0,841","0,668",ES-COLATINA,1,ES-COLATINA,3115,320150, ES,COLATINA,COLATINA,-62.1688572,-12.607055
2412,320160,CONCEIÇÃO DA BARRA,ES,"0,681","0,648","0,810","0,603",ES-CONCEIÇÃO DA BARRA,1,ES-CONCEIÇÃO DA BARRA,3116,320160, ES,CONCEIÇÃO DA BARRA,CONCEIÇÃO DA BARRA,-62.1688572,-12.607055
2663,320170,CONCEIÇÃO DO CASTELO,ES,"0,670","0,685","0,810","0,541",ES-CONCEIÇÃO DO CASTELO,1,ES-CONCEIÇÃO DO CASTELO,3117,320170, ES,CONCEIÇÃO DO CASTELO,CONCEIÇÃO DO CASTELO,-62.1688572,-12.607055
3448,320180,DIVINO DE SÃO LOURENÇO,ES,"0,632","0,622","0,819","0,496",ES-DIVINO DE SÃO LOURENÇO,1,ES-DIVINO DE SÃO LOURENÇO,3118,320180, ES,DIVINO DE SÃO LOURENÇO,DIVINO DE SÃO LOURENÇO,-62.1688572,-12.607055
2691,320190,DOMINGOS MARTINS,ES,"0,669","0,680","0,833","0,528",ES-DOMINGOS MARTINS,1,ES-DOMINGOS MARTINS,3119,320190, ES,DOMINGOS MARTINS,DOMINGOS MARTINS,-62.1688572,-12.607055
3030,320200,DORES DO RIO PRETO,ES,"0,654","0,635","0,813","0,542",ES-DORES DO RIO PRETO,1,ES-DORES DO RIO PRETO,3120,320200, ES,DORES DO RIO PRETO,DORES DO RIO PRETO,-62.1688572,-12.607055
2846,320210,ECOPORANGA,ES,"0,662","0,631","0,819","0,562",ES-ECOPORANGA,1,ES-ECOPORANGA,3121,320210, ES,ECOPORANGA,ECOPORANGA,-62.1688572,-12.607055
1362,320220,FUNDÃO,ES,"0,718","0,708","0,839","0,623",ES-FUNDÃO,1,ES-FUNDÃO,3122,320220, ES,FUNDÃO,FUNDÃO,-62.1688572,-12.607055
2078,320225,GOVERNADOR LINDENBERG,ES,"0,694","0,669","0,823","0,608",ES-GOVERNADOR LINDENBERG,1,ES-GOVERNADOR LINDENBERG,3123,320225, ES,GOVERNADOR LINDENBERG,GOVERNADOR LINDENBERG,-62.1688572,-12.607055
1811,320230,GUAÇUÍ,ES,"0,703","0,691","0,846","0,595",ES-GUAÇUÍ,1,ES-GUAÇUÍ,3124,320230, ES,GUAÇUÍ,GUAÇUÍ,-62.1688572,-12.607055
993,320240,GUARAPARI,ES,"0,731","0,746","0,837","0,626",ES-GUARAPARI,1,ES-GUARAPARI,3125,320240, ES,GUARAPARI,GUARAPARI,-62.1688572,-12.607055
3172,320245,IBATIBA,ES,"0,647","0,651","0,830","0,501",ES-IBATIBA,1,ES-IBATIBA,3126,320245, ES,IBATIBA,IBATIBA,-62.1688572,-12.607055
1133,320250,IBIRAÇU,ES,"0,726","0,733","0,835","0,625",ES-IBIRAÇU,1,ES-IBIRAÇU,3127,320250, ES,IBIRAÇU,IBIRAÇU,-62.1688572,-12.607055
3653,320255,IBITIRAMA,ES,"0,622","0,609","0,821","0,481",ES-IBITIRAMA,1,ES-IBITIRAMA,3128,320255, ES,IBITIRAMA,IBITIRAMA,-62.1688572,-12.607055
1052,320260,ICONHA,ES,"0,729","0,709","0,830","0,658",ES-ICONHA,1,ES-ICONHA,3129,320260, ES,ICONHA,ICONHA,-62.1688572,-12.607055
3357,320265,IRUPI,ES,"0,637","0,658","0,798","0,493",ES-IRUPI,1,ES-IRUPI,3130,320265, ES,IRUPI,IRUPI,-62.1688572,-12.607055
1842,320270,ITAGUAÇU,ES,"0,702","0,672","0,802","0,641",ES-ITAGUAÇU,1,ES-ITAGUAÇU,3131,320270, ES,ITAGUAÇU,ITAGUAÇU,-62.1688572,-12.607055
3030,320280,ITAPEMIRIM,ES,"0,654","0,640","0,808","0,540",ES-ITAPEMIRIM,1,ES-ITAPEMIRIM,3132,320280, ES,ITAPEMIRIM,ITAPEMIRIM,-62.1688572,-12.607055
2332,320290,ITARANA,ES,"0,684","0,696","0,809","0,568",ES-ITARANA,1,ES-ITARANA,3133,320290, ES,ITARANA,ITARANA,-62.1688572,-12.607055
2759,320300,IÚNA,ES,"0,666","0,665","0,829","0,537",ES-IÚNA,1,ES-IÚNA,3134,320300, ES,IÚNA,IÚNA,-62.1688572,-12.607055
2481,320305,JAGUARÉ,ES,"0,678","0,678","0,810","0,568",ES-JAGUARÉ,1,ES-JAGUARÉ,3135,320305, ES,JAGUARÉ,JAGUARÉ,-62.1688572,-12.607055
1969,320310,JERÔNIMO MONTEIRO,ES,"0,698","0,685","0,844","0,589",ES-JERÔNIMO MONTEIRO,1,ES-JERÔNIMO MONTEIRO,3136,320310, ES,JERÔNIMO MONTEIRO,JERÔNIMO MONTEIRO,-62.1688572,-12.607055
488,320313,JOÃO NEIVA,ES,"0,753","0,751","0,857","0,663",ES-JOÃO NEIVA,1,ES-JOÃO NEIVA,3137,320313, ES,JOÃO NEIVA,JOÃO NEIVA,-62.1688572,-12.607055
2986,320316,LARANJA DA TERRA,ES,"0,656","0,633","0,810","0,550",ES-LARANJA DA TERRA,1,ES-LARANJA DA TERRA,3138,320316, ES,LARANJA DA TERRA,LARANJA DA TERRA,-62.1688572,-12.607055
1191,320320,LINHARES,ES,"0,724","0,721","0,834","0,630",ES-LINHARES,1,ES-LINHARES,3139,320320, ES,LINHARES,LINHARES,-62.1688572,-12.607055
2964,320330,MANTENÓPOLIS,ES,"0,657","0,636","0,810","0,551",ES-MANTENÓPOLIS,1,ES-MANTENÓPOLIS,3140,320330, ES,MANTENÓPOLIS,MANTENÓPOLIS,-62.1688572,-12.607055
2028,320332,MARATAÍZES,ES,"0,696","0,676","0,847","0,588",ES-MARATAÍZES,1,ES-MARATAÍZES,3141,320332, ES,MARATAÍZES,MARATAÍZES,-62.1688572,-12.607055
1595,320334,MARECHAL FLORIANO,ES,"0,710","0,715","0,849","0,589",ES-MARECHAL FLORIANO,1,ES-MARECHAL FLORIANO,3142,320334, ES,MARECHAL FLORIANO,MARECHAL FLORIANO,-62.1688572,-12.607055
2028,320335,MARILÂNDIA,ES,"0,696","0,668","0,823","0,612",ES-MARILÂNDIA,1,ES-MARILÂNDIA,3143,320335, ES,MARILÂNDIA,MARILÂNDIA,-62.1688572,-12.607055
2663,320340,MIMOSO DO SUL,ES,"0,670","0,672","0,827","0,541",ES-MIMOSO DO SUL,1,ES-MIMOSO DO SUL,3144,320340, ES,MIMOSO DO SUL,MIMOSO DO SUL,-62.1688572,-12.607055
2738,320350,MONTANHA,ES,"0,667","0,679","0,816","0,535",ES-MONTANHA,1,ES-MONTANHA,3145,320350, ES,MONTANHA,MONTANHA,-62.1688572,-12.607055
2759,320360,MUCURICI,ES,"0,666","0,617","0,828","0,577",ES-MUCURICI,1,ES-MUCURICI,3146,320360, ES,MUCURICI,MUCURICI,-62.1688572,-12.607055
3201,320370,MUNIZ FREIRE,ES,"0,645","0,637","0,821","0,512",ES-MUNIZ FREIRE,1,ES-MUNIZ FREIRE,3147,320370, ES,MUNIZ FREIRE,MUNIZ FREIRE,-62.1688572,-12.607055
2078,320380,MUQUI,ES,"0,694","0,673","0,802","0,619",ES-MUQUI,1,ES-MUQUI,3148,320380, ES,MUQUI,MUQUI,-62.1688572,-12.607055
1546,320390,NOVA VENÉCIA,ES,"0,712","0,692","0,841","0,621",ES-NOVA VENÉCIA,1,ES-NOVA VENÉCIA,3149,320390, ES,NOVA VENÉCIA,NOVA VENÉCIA,-62.1688572,-12.607055
2738,320400,PANCAS,ES,"0,667","0,648","0,815","0,562",ES-PANCAS,1,ES-PANCAS,3150,320400, ES,PANCAS,PANCAS,-62.1688572,-12.607055
3030,320405,PEDRO CANÁRIO,ES,"0,654","0,643","0,812","0,536",ES-PEDRO CANÁRIO,1,ES-PEDRO CANÁRIO,3151,320405, ES,PEDRO CANÁRIO,PEDRO CANÁRIO,-62.1688572,-12.607055
2598,320410,PINHEIROS,ES,"0,673","0,668","0,816","0,558",ES-PINHEIROS,1,ES-PINHEIROS,3152,320410, ES,PINHEIROS,PINHEIROS,-62.1688572,-12.607055
1107,320420,PIÚMA,ES,"0,727","0,702","0,852","0,643",ES-PIÚMA,1,ES-PIÚMA,3153,320420, ES,PIÚMA,PIÚMA,-62.1688572,-12.607055
2691,320425,PONTO BELO,ES,"0,669","0,631","0,783","0,605",ES-PONTO BELO,1,ES-PONTO BELO,3154,320425, ES,PONTO BELO,PONTO BELO,-62.1688572,-12.607055
2964,320430,PRESIDENTE KENNEDY,ES,"0,657","0,636","0,808","0,553",ES-PRESIDENTE KENNEDY,1,ES-PRESIDENTE KENNEDY,3155,320430, ES,PRESIDENTE KENNEDY,PRESIDENTE KENNEDY,-62.1688572,-12.607055
2412,320435,RIO BANANAL,ES,"0,681","0,680","0,802","0,579",ES-RIO BANANAL,1,ES-RIO BANANAL,3156,320435, ES,RIO BANANAL,RIO BANANAL,-62.1688572,-12.607055
1574,320440,RIO NOVO DO SUL,ES,"0,711","0,692","0,837","0,620",ES-RIO NOVO DO SUL,1,ES-RIO NOVO DO SUL,3157,320440, ES,RIO NOVO DO SUL,RIO NOVO DO SUL,-62.1688572,-12.607055
3561,320450,SANTA LEOPOLDINA,ES,"0,626","0,646","0,797","0,477",ES-SANTA LEOPOLDINA,1,ES-SANTA LEOPOLDINA,3158,320450, ES,SANTA LEOPOLDINA,SANTA LEOPOLDINA,-62.1688572,-12.607055
2642,320455,SANTA MARIA DE JETIBÁ,ES,"0,671","0,695","0,834","0,521",ES-SANTA MARIA DE JETIBÁ,1,ES-SANTA MARIA DE JETIBÁ,3159,320455, ES,SANTA MARIA DE JETIBÁ,SANTA MARIA DE JETIBÁ,-62.1688572,-12.607055
1486,320460,SANTA TERESA,ES,"0,714","0,722","0,834","0,604",ES-SANTA TERESA,1,ES-SANTA TERESA,3160,320460, ES,SANTA TERESA,SANTA TERESA,-62.1688572,-12.607055
2386,320465,SÃO DOMINGOS DO NORTE,ES,"0,682","0,679","0,811","0,575",ES-SÃO DOMINGOS DO NORTE,1,ES-SÃO DOMINGOS DO NORTE,3161,320465, ES,SÃO DOMINGOS DO NORTE,SÃO DOMINGOS DO NORTE,-62.1688572,-12.607055
1638,320470,SÃO GABRIEL DA PALHA,ES,"0,709","0,739","0,835","0,578",ES-SÃO GABRIEL DA PALHA,1,ES-SÃO GABRIEL DA PALHA,3162,320470, ES,SÃO GABRIEL DA PALHA,SÃO GABRIEL DA PALHA,-62.1688572,-12.607055
2224,320480,SÃO JOSÉ DO CALÇADO,ES,"0,688","0,669","0,814","0,599",ES-SÃO JOSÉ DO CALÇADO,1,ES-SÃO JOSÉ DO CALÇADO,3163,320480, ES,SÃO JOSÉ DO CALÇADO,SÃO JOSÉ DO CALÇADO,-62.1688572,-12.607055
897,320490,SÃO MATEUS,ES,"0,735","0,719","0,843","0,655",ES-SÃO MATEUS,1,ES-SÃO MATEUS,3164,320490, ES,SÃO MATEUS,SÃO MATEUS,-62.1688572,-12.607055
1904,320495,SÃO ROQUE DO CANAÃ,ES,"0,700","0,686","0,803","0,623",ES-SÃO ROQUE DO CANAÃ,1,ES-SÃO ROQUE DO CANAÃ,3165,320495, ES,SÃO ROQUE DO CANAÃ,SÃO ROQUE DO CANAÃ,-62.1688572,-12.607055
795,320500,SERRA,ES,"0,739","0,720","0,844","0,664",ES-SERRA,1,ES-SERRA,3166,320500, ES,SERRA,SERRA,-62.1688572,-12.607055
2846,320501,SOORETAMA,ES,"0,662","0,650","0,802","0,556",ES-SOORETAMA,1,ES-SOORETAMA,3167,320501, ES,SOORETAMA,SOORETAMA,-62.1688572,-12.607055
2828,320503,VARGEM ALTA,ES,"0,663","0,658","0,814","0,544",ES-VARGEM ALTA,1,ES-VARGEM ALTA,3168,320503, ES,VARGEM ALTA,VARGEM ALTA,-62.1688572,-12.607055
1081,320506,VENDA NOVA DO IMIGRANTE,ES,"0,728","0,731","0,845","0,624",ES-VENDA NOVA DO IMIGRANTE,1,ES-VENDA NOVA DO IMIGRANTE,3169,320506, ES,VENDA NOVA DO IMIGRANTE,VENDA NOVA DO IMIGRANTE,-62.1688572,-12.607055
2282,320510,VIANA,ES,"0,686","0,672","0,816","0,589",ES-VIANA,1,ES-VIANA,3170,320510, ES,VIANA,VIANA,-62.1688572,-12.607055
2412,320515,VILA PAVÃO,ES,"0,681","0,647","0,830","0,588",ES-VILA PAVÃO,1,ES-VILA PAVÃO,3171,320515, ES,VILA PAVÃO,VILA PAVÃO,-62.1688572,-12.607055
2545,320517,VILA VALÉRIO,ES,"0,675","0,686","0,816","0,549",ES-VILA VALÉRIO,1,ES-VILA VALÉRIO,3172,320517, ES,VILA VALÉRIO,VILA VALÉRIO,-62.1688572,-12.607055
40,320520,VILA VELHA,ES,"0,800","0,807","0,864","0,734",ES-VILA VELHA,1,ES-VILA VELHA,3173,320520, ES,VILA VELHA,VILA VELHA,-62.1688572,-12.607055
4,320530,VITÓRIA,ES,"0,845","0,876","0,855","0,805",ES-VITÓRIA,1,ES-VITÓRIA,3174,320530, ES,VITÓRIA,VITÓRIA,-62.1688572,-12.607055
1665,520005,ABADIA DE GOIÁS,GO,"0,708","0,687","0,830","0,622",GO-ABADIA DE GOIÁS,1,GO-ABADIA DE GOIÁS,5321,520005, GO,ABADIA DE GOIÁS,ABADIA DE GOIÁS,-62.1688572,-12.607055
2199,520010,ABADIÂNIA,GO,"0,689","0,671","0,841","0,579",GO-ABADIÂNIA,1,GO-ABADIÂNIA,5322,520010, GO,ABADIÂNIA,ABADIÂNIA,-62.1688572,-12.607055
2282,520013,ACREÚNA,GO,"0,686","0,710","0,822","0,553",GO-ACREÚNA,1,GO-ACREÚNA,5323,520013, GO,ACREÚNA,ACREÚNA,-62.1688572,-12.607055
1842,520015,ADELÂNDIA,GO,"0,702","0,664","0,836","0,622",GO-ADELÂNDIA,1,GO-ADELÂNDIA,5324,520015, GO,ADELÂNDIA,ADELÂNDIA,-62.1688572,-12.607055
2642,520017,ÁGUA FRIA DE GOIÁS,GO,"0,671","0,672","0,817","0,550",GO-ÁGUA FRIA DE GOIÁS,1,GO-ÁGUA FRIA DE GOIÁS,5325,520017, GO,ÁGUA FRIA DE GOIÁS,ÁGUA FRIA DE GOIÁS,-62.1688572,-12.607055
1244,520020,ÁGUA LIMPA,GO,"0,722","0,691","0,821","0,663",GO-ÁGUA LIMPA,1,GO-ÁGUA LIMPA,5326,520020, GO,ÁGUA LIMPA,ÁGUA LIMPA,-62.1688572,-12.607055
2282,520025,ÁGUAS LINDAS DE GOIÁS,GO,"0,686","0,647","0,848","0,588",GO-ÁGUAS LINDAS DE GOIÁS,1,GO-ÁGUAS LINDAS DE GOIÁS,5327,520025, GO,ÁGUAS LINDAS DE GOIÁS,ÁGUAS LINDAS DE GOIÁS,-62.1688572,-12.607055
2386,520030,ALEXÂNIA,GO,"0,682","0,664","0,841","0,568",GO-ALEXÂNIA,1,GO-ALEXÂNIA,5328,520030, GO,ALEXÂNIA,ALEXÂNIA,-62.1688572,-12.607055
1995,520050,ALOÂNDIA,GO,"0,697","0,694","0,834","0,585",GO-ALOÂNDIA,1,GO-ALOÂNDIA,5329,520050, GO,ALOÂNDIA,ALOÂNDIA,-62.1688572,-12.607055
1331,520055,ALTO HORIZONTE,GO,"0,719","0,709","0,841","0,624",GO-ALTO HORIZONTE,1,GO-ALTO HORIZONTE,5330,520055, GO,ALTO HORIZONTE,ALTO HORIZONTE,-62.1688572,-12.607055
1514,520060,ALTO PARAÍSO DE GOIÁS,GO,"0,713","0,723","0,819","0,611",GO-ALTO PARAÍSO DE GOIÁS,1,GO-ALTO PARAÍSO DE GOIÁS,5331,520060, GO,ALTO PARAÍSO DE GOIÁS,ALTO PARAÍSO DE GOIÁS,-62.1688572,-12.607055
2898,520080,ALVORADA DO NORTE,GO,"0,660","0,640","0,819","0,548",GO-ALVORADA DO NORTE,1,GO-ALVORADA DO NORTE,5332,520080, GO,ALVORADA DO NORTE,ALVORADA DO NORTE,-62.1688572,-12.607055
3927,520082,AMARALINA,GO,"0,609","0,569","0,813","0,489",GO-AMARALINA,1,GO-AMARALINA,5333,520082, GO,AMARALINA,AMARALINA,-62.1688572,-12.607055
1904,520085,AMERICANO DO BRASIL,GO,"0,700","0,669","0,813","0,631",GO-AMERICANO DO BRASIL,1,GO-AMERICANO DO BRASIL,5334,520085, GO,AMERICANO DO BRASIL,AMERICANO DO BRASIL,-62.1688572,-12.607055
2412,520090,AMORINÓPOLIS,GO,"0,681","0,672","0,813","0,579",GO-AMORINÓPOLIS,1,GO-AMORINÓPOLIS,5335,520090, GO,AMORINÓPOLIS,AMORINÓPOLIS,-62.1688572,-12.607055
850,520110,ANÁPOLIS,GO,"0,737","0,737","0,822","0,660",GO-ANÁPOLIS,1,GO-ANÁPOLIS,5336,520110, GO,ANÁPOLIS,ANÁPOLIS,-62.1688572,-12.607055
1154,520120,ANHANGUERA,GO,"0,725","0,724","0,802","0,657",GO-ANHANGUERA,1,GO-ANHANGUERA,5337,520120, GO,ANHANGUERA,ANHANGUERA,-62.1688572,-12.607055
1486,520130,ANICUNS,GO,"0,714","0,695","0,834","0,627",GO-ANICUNS,1,GO-ANICUNS,5338,520130, GO,ANICUNS,ANICUNS,-62.1688572,-12.607055
1362,520140,APARECIDA DE GOIÂNIA,GO,"0,718","0,716","0,834","0,620",GO-APARECIDA DE GOIÂNIA,1,GO-APARECIDA DE GOIÂNIA,5339,520140, GO,APARECIDA DE GOIÂNIA,APARECIDA DE GOIÂNIA,-62.1688572,-12.607055
2105,520145,APARECIDA DO RIO DOCE,GO,"0,693","0,700","0,814","0,583",GO-APARECIDA DO RIO DOCE,1,GO-APARECIDA DO RIO DOCE,5340,520145, GO,APARECIDA DO RIO DOCE,APARECIDA DO RIO DOCE,-62.1688572,-12.607055
2105,520150,APORÉ,GO,"0,693","0,692","0,823","0,584",GO-APORÉ,1,GO-APORÉ,5341,520150, GO,APORÉ,APORÉ,-62.1688572,-12.607055
2105,520160,ARAÇU,GO,"0,693","0,686","0,838","0,578",GO-ARAÇU,1,GO-ARAÇU,5342,520160, GO,ARAÇU,ARAÇU,-62.1688572,-12.607055
965,520170,ARAGARÇAS,GO,"0,732","0,694","0,830","0,680",GO-ARAGARÇAS,1,GO-ARAGARÇAS,5343,520170, GO,ARAGARÇAS,ARAGARÇAS,-62.1688572,-12.607055
2332,520180,ARAGOIÂNIA,GO,"0,684","0,683","0,837","0,560",GO-ARAGOIÂNIA,1,GO-ARAGOIÂNIA,5344,520180, GO,ARAGOIÂNIA,ARAGOIÂNIA,-62.1688572,-12.607055
2573,520215,ARAGUAPAZ,GO,"0,674","0,696","0,814","0,540",GO-ARAGUAPAZ,1,GO-ARAGUAPAZ,5345,520215, GO,ARAGUAPAZ,ARAGUAPAZ,-62.1688572,-12.607055
2251,520235,ARENÓPOLIS,GO,"0,687","0,674","0,826","0,582",GO-ARENÓPOLIS,1,GO-ARENÓPOLIS,5346,520235, GO,ARENÓPOLIS,ARENÓPOLIS,-62.1688572,-12.607055
2545,520250,ARUANÃ,GO,"0,675","0,708","0,826","0,526",GO-ARUANÃ,1,GO-ARUANÃ,5347,520250, GO,ARUANÃ,ARUANÃ,-62.1688572,-12.607055
1904,520260,AURILÂNDIA,GO,"0,700","0,661","0,836","0,620",GO-AURILÂNDIA,1,GO-AURILÂNDIA,5348,520260, GO,AURILÂNDIA,AURILÂNDIA,-62.1688572,-12.607055
2898,520280,AVELINÓPOLIS,GO,"0,660","0,682","0,828","0,508",GO-AVELINÓPOLIS,1,GO-AVELINÓPOLIS,5349,520280, GO,AVELINÓPOLIS,AVELINÓPOLIS,-62.1688572,-12.607055
3008,520310,BALIZA,GO,"0,655","0,614","0,819","0,558",GO-BALIZA,1,GO-BALIZA,5350,520310, GO,BALIZA,BALIZA,-62.1688572,-12.607055
719,520320,BARRO ALTO,GO,"0,742","0,701","0,854","0,682",GO-BARRO ALTO,1,GO-BARRO ALTO,5351,520320, GO,BARRO ALTO,BARRO ALTO,-62.1688572,-12.607055
1427,520330,BELA VISTA DE GOIÁS,GO,"0,716","0,721","0,837","0,607",GO-BELA VISTA DE GOIÁS,1,GO-BELA VISTA DE GOIÁS,5352,520330, GO,BELA VISTA DE GOIÁS,BELA VISTA DE GOIÁS,-62.1688572,-12.607055
2663,520340,BOM JARDIM DE GOIÁS,GO,"0,670","0,680","0,811","0,545",GO-BOM JARDIM DE GOIÁS,1,GO-BOM JARDIM DE GOIÁS,5353,520340, GO,BOM JARDIM DE GOIÁS,BOM JARDIM DE GOIÁS,-62.1688572,-12.607055
1866,520350,BOM JESUS DE GOIÁS,GO,"0,701","0,699","0,860","0,573",GO-BOM JESUS DE GOIÁS,1,GO-BOM JESUS DE GOIÁS,5354,520350, GO,BOM JESUS DE GOIÁS,BOM JESUS DE GOIÁS,-62.1688572,-12.607055
2359,520355,BONFINÓPOLIS,GO,"0,683","0,671","0,817","0,580",GO-BONFINÓPOLIS,1,GO-BONFINÓPOLIS,5355,520355, GO,BONFINÓPOLIS,BONFINÓPOLIS,-62.1688572,-12.607055
3487,520357,BONÓPOLIS,GO,"0,630","0,630","0,813","0,488",GO-BONÓPOLIS,1,GO-BONÓPOLIS,5356,520357, GO,BONÓPOLIS,BONÓPOLIS,-62.1688572,-12.607055
1866,520360,BRAZABRANTES,GO,"0,701","0,677","0,826","0,615",GO-BRAZABRANTES,1,GO-BRAZABRANTES,5357,520360, GO,BRAZABRANTES,BRAZABRANTES,-62.1688572,-12.607055
2621,520380,BRITÂNIA,GO,"0,672","0,692","0,802","0,546",GO-BRITÂNIA,1,GO-BRITÂNIA,5358,520380, GO,BRITÂNIA,BRITÂNIA,-62.1688572,-12.607055
1595,520390,BURITI ALEGRE,GO,"0,710","0,700","0,831","0,614",GO-BURITI ALEGRE,1,GO-BURITI ALEGRE,5359,520390, GO,BURITI ALEGRE,BURITI ALEGRE,-62.1688572,-12.607055
2251,520393,BURITI DE GOIÁS,GO,"0,687","0,707","0,806","0,570",GO-BURITI DE GOIÁS,1,GO-BURITI DE GOIÁS,5360,520393, GO,BURITI DE GOIÁS,BURITI DE GOIÁS,-62.1688572,-12.607055
1776,520396,BURITINÓPOLIS,GO,"0,704","0,727","0,813","0,591",GO-BURITINÓPOLIS,1,GO-BURITINÓPOLIS,5361,520396, GO,BURITINÓPOLIS,BURITINÓPOLIS,-62.1688572,-12.607055
2716,520400,CABECEIRAS,GO,"0,668","0,637","0,819","0,571",GO-CABECEIRAS,1,GO-CABECEIRAS,5362,520400, GO,CABECEIRAS,CABECEIRAS,-62.1688572,-12.607055
1595,520410,CACHOEIRA ALTA,GO,"0,710","0,750","0,840","0,569",GO-CACHOEIRA ALTA,1,GO-CACHOEIRA ALTA,5363,520410, GO,CACHOEIRA ALTA,CACHOEIRA ALTA,-62.1688572,-12.607055
1107,520420,CACHOEIRA DE GOIÁS,GO,"0,727","0,680","0,838","0,674",GO-CACHOEIRA DE GOIÁS,1,GO-CACHOEIRA DE GOIÁS,5364,520420, GO,CACHOEIRA DE GOIÁS,CACHOEIRA DE GOIÁS,-62.1688572,-12.607055
1969,520425,CACHOEIRA DOURADA,GO,"0,698","0,703","0,804","0,602",GO-CACHOEIRA DOURADA,1,GO-CACHOEIRA DOURADA,5365,520425, GO,CACHOEIRA DOURADA,CACHOEIRA DOURADA,-62.1688572,-12.607055
1021,520430,CAÇU,GO,"0,730","0,774","0,840","0,599",GO-CAÇU,1,GO-CAÇU,5366,520430, GO,CAÇU,CAÇU,-62.1688572,-12.607055
2105,520440,CAIAPÔNIA,GO,"0,693","0,701","0,808","0,588",GO-CAIAPÔNIA,1,GO-CAIAPÔNIA,5367,520440, GO,CAIAPÔNIA,CAIAPÔNIA,-62.1688572,-12.607055
940,520450,CALDAS NOVAS,GO,"0,733","0,739","0,832","0,640",GO-CALDAS NOVAS,1,GO-CALDAS NOVAS,5368,520450, GO,CALDAS NOVAS,CALDAS NOVAS,-62.1688572,-12.607055
