MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
 PI-SÃO MIGUEL DO FIDALGO,869,221039, PI,SÃO MIGUEL DO FIDALGO,SÃO MIGUEL DO FIDALGO,-42.3721563,-7.5835489
 PI-SÃO MIGUEL DO TAPUIO,870,221040, PI,SÃO MIGUEL DO TAPUIO,SÃO MIGUEL DO TAPUIO,-41.441251,-5.7205053
 PI-SÃO PEDRO DO PIAUÍ,871,221050, PI,SÃO PEDRO DO PIAUÍ,SÃO PEDRO DO PIAUÍ,-42.7200498,-5.9256609
 PI-SÃO RAIMUNDO NONATO,872,221060, PI,SÃO RAIMUNDO NONATO,SÃO RAIMUNDO NONATO,-42.6919194,-9.0105563
 PI-SEBASTIÃO BARROS,873,221062, PI,SEBASTIÃO BARROS,SEBASTIÃO BARROS,-44.813111,-10.683594
 PI-SEBASTIÃO LEAL,874,221063, PI,SEBASTIÃO LEAL,SEBASTIÃO LEAL,-44.0579882,-7.7728847
 PI-SIGEFREDO PACHECO,875,221065, PI,SIGEFREDO PACHECO,SIGEFREDO PACHECO,-41.7314949,-4.917034
 PI-SIMÕES,876,221070, PI,SIMÕES,SIMÕES,NA,NA
 PI-SIMPLÍCIO MENDES,877,221080, PI,SIMPLÍCIO MENDES,SIMPLÍCIO MENDES,-41.9105688,-7.8602318
 PI-SOCORRO DO PIAUÍ,878,221090, PI,SOCORRO DO PIAUÍ,SOCORRO DO PIAUÍ,-42.4957556,-7.862791
 PI-SUSSUAPARA,879,221093, PI,SUSSUAPARA,SUSSUAPARA,-41.4047916,-7.0285257
 PI-TAMBORIL DO PIAUÍ,880,221095, PI,TAMBORIL DO PIAUÍ,TAMBORIL DO PIAUÍ,-43.058341,-8.4399681
 PI-TANQUE DO PIAUÍ,881,221097, PI,TANQUE DO PIAUÍ,TANQUE DO PIAUÍ,-42.2756861,-6.6606608
 PI-TERESINA,882,221100, PI,TERESINA,TERESINA,-42.8037597,-5.0920108
 PI-UNIÃO,883,221110, PI,UNIÃO,UNIÃO,NA,NA
 PI-URUÇUÍ,884,221120, PI,URUÇUÍ,URUÇUÍ,-44.5501935,-7.7414861
 PI-VALENÇA DO PIAUÍ,885,221130, PI,VALENÇA DO PIAUÍ,VALENÇA DO PIAUÍ,-41.7368352,-6.4060774
 PI-VÁRZEA BRANCA,886,221135, PI,VÁRZEA BRANCA,VÁRZEA BRANCA,-42.9646806,-9.2378632
 PI-VÁRZEA GRANDE,887,221140, PI,VÁRZEA GRANDE,VÁRZEA GRANDE,-56.1327131,-15.646248
 PI-VERA MENDES,888,221150, PI,VERA MENDES,VERA MENDES,-41.4829798,-7.6039629
 PI-VILA NOVA DO PIAUÍ,889,221160, PI,VILA NOVA DO PIAUÍ,VILA NOVA DO PIAUÍ,-40.9381803,-7.1428542
 PI-WALL FERRAZ,890,221170, PI,WALL FERRAZ,WALL FERRAZ,-41.9104425,-7.232586
 CE-ABAIARA,891,230010, CE,ABAIARA,ABAIARA,-39.0477953,-7.3606417
 CE-ACARAPE,892,230015, CE,ACARAPE,ACARAPE,-38.70411,-4.2203099
 CE-ACARAÚ,893,230020, CE,ACARAÚ,ACARAÚ,-40.1192437,-2.897903
 CE-ACOPIARA,894,230030, CE,ACOPIARA,ACOPIARA,-39.45993,-6.0949221
 CE-AIUABA,895,230040, CE,AIUABA,AIUABA,-40.2271243,-6.5651065
 CE-ALCÂNTARAS,896,230050, CE,ALCÂNTARAS,ALCÂNTARAS,-40.5455415,-3.5868559
 CE-ALTANEIRA,897,230060, CE,ALTANEIRA,ALTANEIRA,-39.7484115,-6.988451
 CE-ALTO SANTO,898,230070, CE,ALTO SANTO,ALTO SANTO,-38.2707613,-5.5189184
 CE-AMONTADA,899,230075, CE,AMONTADA,AMONTADA,-39.8308199,-3.3618719
 CE-ANTONINA DO NORTE,900,230080, CE,ANTONINA DO NORTE,ANTONINA DO NORTE,-39.9890185,-6.7764657
 CE-APUIARÉS,901,230090, CE,APUIARÉS,APUIARÉS,-39.3621196,-3.9484516
 CE-AQUIRAZ,902,230100, CE,AQUIRAZ,AQUIRAZ,-38.3874882,-3.9063032
 CE-ARACATI,903,230110, CE,ARACATI,ARACATI,-37.7688612,-4.5612094
 CE-ARACOIABA,904,230120, CE,ARACOIABA,ARACOIABA,-47.6085697,-23.5086476
 CE-ARARENDÁ,905,230125, CE,ARARENDÁ,ARARENDÁ,-40.7564002,-4.7652405
 CE-ARARIPE,906,230130, CE,ARARIPE,ARARIPE,-40.0633101,-7.2643708
 CE-ARATUBA,907,230140, CE,ARATUBA,ARATUBA,-39.0085346,-4.409114
 CE-ARNEIROZ,908,230150, CE,ARNEIROZ,ARNEIROZ,-40.1862129,-6.2649412
 CE-ASSARÉ,909,230160, CE,ASSARÉ,ASSARÉ,-39.8715949,-6.8751985
 CE-AURORA,910,230170, CE,AURORA,AURORA,-97.5391684,35.4858766
 CE-BAIXIO,911,230180, CE,BAIXIO,BAIXIO,-37.707835,-12.130488
 CE-BANABUIÚ,912,230185, CE,BANABUIÚ,BANABUIÚ,-38.9459326,-5.2253981
 CE-BARBALHA,913,230190, CE,BARBALHA,BARBALHA,-39.3024503,-7.2986432
 CE-BARREIRA,914,230195, CE,BARREIRA,BARREIRA,-70.6568409,41.922895
 CE-BARRO,915,230200, CE,BARRO,BARRO,-111.0906089,32.3541314
 CE-BARROQUINHA,916,230205, CE,BARROQUINHA,BARROQUINHA,-41.1343733,-3.0199939
 CE-BATURITÉ,917,230210, CE,BATURITÉ,BATURITÉ,-38.8773164,-4.3325997
 CE-BEBERIBE,918,230220, CE,BEBERIBE,BEBERIBE,-38.1300007,-4.1828656
 CE-BELA CRUZ,919,230230, CE,BELA CRUZ,BELA CRUZ,-40.1746278,-3.0542867
 CE-BOA VIAGEM,920,230240, CE,BOA VIAGEM,BOA VIAGEM,-34.902409,-8.1317303
 CE-BREJO SANTO,921,230250, CE,BREJO SANTO,BREJO SANTO,-38.9877226,-7.4884406
 CE-CAMOCIM,922,230260, CE,CAMOCIM,CAMOCIM,-40.8421,-2.9008418
 CE-CAMPOS SALES,923,230270, CE,CAMPOS SALES,CAMPOS SALES,-40.37156,-7.0743223
 CE-CANINDÉ,924,230280, CE,CANINDÉ,CANINDÉ,-39.3137855,-4.3580865
 CE-CAPISTRANO,925,230290, CE,CAPISTRANO,CAPISTRANO,-117.6627655,33.5019027
 CE-CARIDADE,926,230300, CE,CARIDADE,CARIDADE,NA,NA
 CE-CARIRÉ,927,230310, CE,CARIRÉ,CARIRÉ,-40.4764866,-3.9491202
 CE-CARIRIAÇU,928,230320, CE,CARIRIAÇU,CARIRIAÇU,-39.2855085,-7.0418076
 CE-CARIÚS,929,230330, CE,CARIÚS,CARIÚS,-39.4450281,-6.6738887
 CE-CARNAUBAL,930,230340, CE,CARNAUBAL,CARNAUBAL,-40.9416419,-4.1636655
 CE-CASCAVEL,931,230350, CE,CASCAVEL,CASCAVEL,-53.4595112,-24.9577771
 CE-CATARINA,932,230360, CE,CATARINA,CATARINA,-99.6133788,28.3455475
 CE-CATUNDA,933,230365, CE,CATUNDA,CATUNDA,-40.2005445,-4.6510223
 CE-CAUCAIA,934,230370, CE,CAUCAIA,CAUCAIA,-38.6663911,-3.7203049
 CE-CEDRO,935,230380, CE,CEDRO,CEDRO,-97.8038072,30.4760636
 CE-CHAVAL,936,230390, CE,CHAVAL,CHAVAL,-70.2684691,43.6510691
 CE-CHORÓ,937,230393, CE,CHORÓ,CHORÓ,-39.137135,-4.845921
 CE-CHOROZINHO,938,230395, CE,CHOROZINHO,CHOROZINHO,-38.4989161,-4.2891138
 CE-COREAÚ,939,230400, CE,COREAÚ,COREAÚ,-40.6531633,-3.5512119
 CE-CRATEÚS,940,230410, CE,CRATEÚS,CRATEÚS,-40.6695522,-5.178204
 CE-CRATO,941,230420, CE,CRATO,CRATO,-7.6456553,39.2876744
 CE-CROATÁ,942,230423, CE,CROATÁ,CROATÁ,-40.9990597,-4.3626835
 CE-CRUZ,943,230425, CE,CRUZ,CRUZ,-95.712891,37.09024
 CE-DEPUTADO IRAPUAN PINHEIRO,944,230426, CE,DEPUTADO IRAPUAN PINHEIRO,DEPUTADO IRAPUAN PINHEIRO,-39.2791011,-5.8718819
 CE-ERERÊ,945,230427, CE,ERERÊ,ERERÊ,-38.3493661,-6.0321235
 CE-EUSÉBIO,946,230428, CE,EUSÉBIO,EUSÉBIO,-38.4639632,-3.8841887
 CE-FARIAS BRITO,947,230430, CE,FARIAS BRITO,FARIAS BRITO,-39.5732891,-6.9261241
 CE-FORQUILHA,948,230435, CE,FORQUILHA,FORQUILHA,-40.2675717,-3.8053293
 CE-FORTALEZA,949,230440, CE,FORTALEZA,FORTALEZA,-38.5269981,-3.7327144
 CE-FORTIM,950,230445, CE,FORTIM,FORTIM,-37.7987924,-4.4508711
 CE-FRECHEIRINHA,951,230450, CE,FRECHEIRINHA,FRECHEIRINHA,-40.8186063,-3.7564006
 CE-GENERAL SAMPAIO,952,230460, CE,GENERAL SAMPAIO,GENERAL SAMPAIO,-39.4489107,-4.0506813
 CE-GRAÇA,953,230465, CE,GRAÇA,GRAÇA,-9.1303962,38.7179494
 CE-GRANJA,954,230470, CE,GRANJA,GRANJA,-95.3395,36.1864875
 CE-GRANJEIRO,955,230480, CE,GRANJEIRO,GRANJEIRO,-39.2185376,-6.888715
 CE-GROAÍRAS,956,230490, CE,GROAÍRAS,GROAÍRAS,-40.3851258,-3.9151938
 CE-GUAIÚBA,957,230495, CE,GUAIÚBA,GUAIÚBA,-38.633485,-4.0423499
 CE-GUARACIABA DO NORTE,958,230500, CE,GUARACIABA DO NORTE,GUARACIABA DO NORTE,-40.7504006,-4.1632847
 CE-GUARAMIRANGA,959,230510, CE,GUARAMIRANGA,GUARAMIRANGA,-38.9330716,-4.2618162
 CE-HIDROLÂNDIA,960,230520, CE,HIDROLÂNDIA,HIDROLÂNDIA,-49.2435998,-17.0165096
 CE-HORIZONTE,961,230523, CE,HORIZONTE,HORIZONTE,-111.8921298,40.7425565
 CE-IBARETAMA,962,230526, CE,IBARETAMA,IBARETAMA,-38.8232087,-4.8206716
 CE-IBIAPINA,963,230530, CE,IBIAPINA,IBIAPINA,-40.8891554,-3.9209816
 CE-IBICUITINGA,964,230533, CE,IBICUITINGA,IBICUITINGA,-38.6375164,-4.9776008
 CE-ICAPUÍ,965,230535, CE,ICAPUÍ,ICAPUÍ,-37.3547456,-4.7158559
 CE-ICÓ,966,230540, CE,ICÓ,ICÓ,-38.8591633,-6.4026236
 CE-IGUATU,967,230550, CE,IGUATU,IGUATU,-39.298059,-6.3587958
 CE-INDEPENDÊNCIA,968,230560, CE,INDEPENDÊNCIA,INDEPENDÊNCIA,NA,NA
 CE-IPAPORANGA,969,230565, CE,IPAPORANGA,IPAPORANGA,-40.7643914,-4.9046585
 CE-IPAUMIRIM,970,230570, CE,IPAUMIRIM,IPAUMIRIM,-52.1344514,-27.0754627
 CE-IPU,971,230580, CE,IPU,IPU,-73.969193,40.750846
 CE-IPUEIRAS,972,230590, CE,IPUEIRAS,IPUEIRAS,-40.717276,-4.54253
 CE-IRACEMA,973,230600, CE,IRACEMA,IRACEMA,-38.3053725,-5.8135219
 CE-IRAUÇUBA,974,230610, CE,IRAUÇUBA,IRAUÇUBA,-39.7827051,-3.7475743
 CE-ITAIÇABA,975,230620, CE,ITAIÇABA,ITAIÇABA,-37.8224458,-4.6775136
 CE-ITAITINGA,976,230625, CE,ITAITINGA,ITAITINGA,-38.5276456,-3.9715688
 CE-ITAPAGÉ,977,230630, CE,ITAPAGÉ,ITAPAGÉ,-39.5850292,-3.6844587
 CE-ITAPIPOCA,978,230640, CE,ITAPIPOCA,ITAPIPOCA,-39.5839241,-3.499706
 CE-ITAPIÚNA,979,230650, CE,ITAPIÚNA,ITAPIÚNA,-38.9212128,-4.5633851
 CE-ITAREMA,980,230655, CE,ITAREMA,ITAREMA,-39.8579118,-3.0318593
 CE-ITATIRA,981,230660, CE,ITATIRA,ITATIRA,-39.5691841,-4.6190362
 CE-JAGUARETAMA,982,230670, CE,JAGUARETAMA,JAGUARETAMA,-38.7650383,-5.6120277
 CE-JAGUARIBARA,983,230680, CE,JAGUARIBARA,JAGUARIBARA,-38.4895414,-5.5566888
 CE-JAGUARIBE,984,230690, CE,JAGUARIBE,JAGUARIBE,-38.6219755,-5.8927582
 CE-JAGUARUANA,985,230700, CE,JAGUARUANA,JAGUARUANA,-37.7829254,-4.8378668
 CE-JARDIM,986,230710, CE,JARDIM,JARDIM,-74.0035855,40.7509451
 CE-JATI,987,230720, CE,JATI,JATI,-81.5976592,41.5079503
 CE-JIJOCA DE JERICOACOARA,988,230725, CE,JIJOCA DE JERICOACOARA,JIJOCA DE JERICOACOARA,-40.451328,-2.8977741
 CE-JUAZEIRO DO NORTE,989,230730, CE,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,-39.3123192,-7.2290551
 CE-JUCÁS,990,230740, CE,JUCÁS,JUCÁS,-39.5187369,-6.5162414
 CE-LAVRAS DA MANGABEIRA,991,230750, CE,LAVRAS DA MANGABEIRA,LAVRAS DA MANGABEIRA,-38.9661509,-6.7557988
 CE-LIMOEIRO DO NORTE,992,230760, CE,LIMOEIRO DO NORTE,LIMOEIRO DO NORTE,-38.0208151,-5.1571715
 CE-MADALENA,993,230763, CE,MADALENA,MADALENA,-28.5185092,38.5298862
 CE-MARACANAÚ,994,230765, CE,MARACANAÚ,MARACANAÚ,-38.6261113,-3.8674127
 CE-MARANGUAPE,995,230770, CE,MARANGUAPE,MARANGUAPE,-38.6775829,-3.8829604
 CE-MARCO,996,230780, CE,MARCO,MARCO,-95.9969928,36.7513807
 CE-MARTINÓPOLE,997,230790, CE,MARTINÓPOLE,MARTINÓPOLE,-40.6957932,-3.2239808
 CE-MASSAPÊ,998,230800, CE,MASSAPÊ,MASSAPÊ,-40.3426306,-3.5240219
 CE-MAURITI,999,230810, CE,MAURITI,MAURITI,-38.7716665,-7.3829493
 CE-MERUOCA,1000,230820, CE,MERUOCA,MERUOCA,-40.4543708,-3.5413944
 CE-MILAGRES,1001,230830, CE,MILAGRES,MILAGRES,-38.9384361,-7.3155983
 CE-MILHÃ,1002,230835, CE,MILHÃ,MILHÃ,-39.1972263,-5.6836789
 CE-MIRAÍMA,1003,230837, CE,MIRAÍMA,MIRAÍMA,-39.9666265,-3.5690712
 CE-MISSÃO VELHA,1004,230840, CE,MISSÃO VELHA,MISSÃO VELHA,-39.1402401,-7.2497022
 CE-MOMBAÇA,1005,230850, CE,MOMBAÇA,MOMBAÇA,-39.6248113,-5.7418736
 CE-MONSENHOR TABOSA,1006,230860, CE,MONSENHOR TABOSA,MONSENHOR TABOSA,-40.0617225,-4.7899496
 CE-MORADA NOVA,1007,230870, CE,MORADA NOVA,MORADA NOVA,-38.3705722,-5.097983
 CE-MORAÚJO,1008,230880, CE,MORAÚJO,MORAÚJO,-40.6955747,-3.4466016
 CE-MORRINHOS,1009,230890, CE,MORRINHOS,MORRINHOS,-49.1124051,-17.7358504
 CE-MUCAMBO,1010,230900, CE,MUCAMBO,MUCAMBO,-40.7450614,-3.9056916
 CE-MULUNGU,1011,230910, CE,MULUNGU,MULUNGU,-38.9979673,-4.3040599
 CE-NOVA OLINDA,1012,230920, CE,NOVA OLINDA,NOVA OLINDA,-39.6796207,-7.0917903
 CE-NOVA RUSSAS,1013,230930, CE,NOVA RUSSAS,NOVA RUSSAS,-40.5601444,-4.7065466
 CE-NOVO ORIENTE,1014,230940, CE,NOVO ORIENTE,NOVO ORIENTE,-40.7564002,-5.614833
 CE-OCARA,1015,230945, CE,OCARA,OCARA,-38.5270305,-4.5215418
 CE-ORÓS,1016,230950, CE,ORÓS,ORÓS,-38.9459326,-6.2401676
 CE-PACAJUS,1017,230960, CE,PACAJUS,PACAJUS,-38.460945,-4.1731846
 CE-PACATUBA,1018,230970, CE,PACATUBA,PACATUBA,-38.6057325,-3.9295337
 CE-PACOTI,1019,230980, CE,PACOTI,PACOTI,-38.92227,-4.2254615
 CE-PACUJÁ,1020,230990, CE,PACUJÁ,PACUJÁ,-40.6992478,-3.9836524
 CE-PALHANO,1021,231000, CE,PALHANO,PALHANO,-38.0419836,-4.7019543
 CE-PALMÁCIA,1022,231010, CE,PALMÁCIA,PALMÁCIA,-38.8310037,-4.1331653
 CE-PARACURU,1023,231020, CE,PARACURU,PARACURU,-39.0303806,-3.4142906
 CE-PARAIPABA,1024,231025, CE,PARAIPABA,PARAIPABA,-39.1481949,-3.4376591
 CE-PARAMBU,1025,231030, CE,PARAMBU,PARAMBU,-40.6924331,-6.2120499
 CE-PARAMOTI,1026,231040, CE,PARAMOTI,PARAMOTI,-39.2391722,-4.0981688
 CE-PEDRA BRANCA,1027,231050, CE,PEDRA BRANCA,PEDRA BRANCA,104.4080556,1.3302778
 CE-PENAFORTE,1028,231060, CE,PENAFORTE,PENAFORTE,-39.0606562,-7.7804526
 CE-PENTECOSTE,1029,231070, CE,PENTECOSTE,PENTECOSTE,-39.2697747,-3.7924416
 CE-PEREIRO,1030,231080, CE,PEREIRO,PEREIRO,-73.2083327,41.2373167
 CE-PINDORETAMA,1031,231085, CE,PINDORETAMA,PINDORETAMA,-38.3036663,-4.0304218
 CE-PIQUET CARNEIRO,1032,231090, CE,PIQUET CARNEIRO,PIQUET CARNEIRO,-39.4171104,-5.8036293
 CE-PIRES FERREIRA,1033,231095, CE,PIRES FERREIRA,PIRES FERREIRA,-40.5607349,-4.2691844
 CE-PORANGA,1034,231100, CE,PORANGA,PORANGA,-40.9250272,-4.7443295
 CE-PORTEIRAS,1035,231110, CE,PORTEIRAS,PORTEIRAS,-39.1168496,-7.5345226
 CE-POTENGI,1036,231120, CE,POTENGI,POTENGI,-40.0262269,-7.0905649
 CE-POTIRETAMA,1037,231123, CE,POTIRETAMA,POTIRETAMA,-38.1539515,-5.7233918
 CE-QUITERIANÓPOLIS,1038,231126, CE,QUITERIANÓPOLIS,QUITERIANÓPOLIS,-40.7037282,-5.8455954
 CE-QUIXADÁ,1039,231130, CE,QUIXADÁ,QUIXADÁ,-39.0161545,-4.9685143
 CE-QUIXELÔ,1040,231135, CE,QUIXELÔ,QUIXELÔ,-39.1994449,-6.2528491
 CE-QUIXERAMOBIM,1041,231140, CE,QUIXERAMOBIM,QUIXERAMOBIM,-39.4035876,-5.2915408
 CE-QUIXERÉ,1042,231150, CE,QUIXERÉ,QUIXERÉ,-37.9894863,-5.0728291
 CE-REDENÇÃO,1043,231160, CE,REDENÇÃO,REDENÇÃO,-50.0322512,-8.0257338
 CE-RERIUTABA,1044,231170, CE,RERIUTABA,RERIUTABA,-40.5940565,-4.1329003
 CE-RUSSAS,1045,231180, CE,RUSSAS,RUSSAS,-37.9636424,-4.9284453
 CE-SABOEIRO,1046,231190, CE,SABOEIRO,SABOEIRO,-39.8990473,-6.4605786
 CE-SALITRE,1047,231195, CE,SALITRE,SALITRE,-87.8593598,41.9543538
 CE-SANTANA DO ACARAÚ,1048,231200, CE,SANTANA DO ACARAÚ,SANTANA DO ACARAÚ,-40.2078483,-3.4605096
 CE-SANTANA DO CARIRI,1049,231210, CE,SANTANA DO CARIRI,SANTANA DO CARIRI,-39.7378741,-7.1847263
 CE-SANTA QUITÉRIA,1050,231220, CE,SANTA QUITÉRIA,SANTA QUITÉRIA,-40.1527119,-4.3253745
 CE-SÃO BENEDITO,1051,231230, CE,SÃO BENEDITO,SÃO BENEDITO,NA,NA
 CE-SÃO GONÇALO DO AMARANTE,1052,231240, CE,SÃO GONÇALO DO AMARANTE,SÃO GONÇALO DO AMARANTE,-35.3288131,-5.7852461
 CE-SÃO JOÃO DO JAGUARIBE,1053,231250, CE,SÃO JOÃO DO JAGUARIBE,SÃO JOÃO DO JAGUARIBE,-38.2744009,-5.3418543
 CE-SÃO LUÍS DO CURU,1054,231260, CE,SÃO LUÍS DO CURU,SÃO LUÍS DO CURU,-39.2395072,-3.67202
 CE-SENADOR POMPEU,1055,231270, CE,SENADOR POMPEU,SENADOR POMPEU,-39.3731832,-5.5873768
 CE-SENADOR SÁ,1056,231280, CE,SENADOR SÁ,SENADOR SÁ,-40.4665282,-3.3538275
 CE-SOBRAL,1057,231290, CE,SOBRAL,SOBRAL,-40.3485423,-3.6895919
 CE-SOLONÓPOLE,1058,231300, CE,SOLONÓPOLE,SOLONÓPOLE,-39.0710754,-5.8552817
 CE-TABULEIRO DO NORTE,1059,231310, CE,TABULEIRO DO NORTE,TABULEIRO DO NORTE,-38.1285929,-5.2441899
 CE-TAMBORIL,1060,231320, CE,TAMBORIL,TAMBORIL,-70.6108366,19.4860275
 CE-TARRAFAS,1061,231325, CE,TARRAFAS,TARRAFAS,-39.7541384,-6.6846652
 CE-TAUÁ,1062,231330, CE,TAUÁ,TAUÁ,-46.6618137,-23.0578683
 CE-TEJUÇUOCA,1063,231335, CE,TEJUÇUOCA,TEJUÇUOCA,-39.5789373,-3.9884843
 CE-TIANGUÁ,1064,231340, CE,TIANGUÁ,TIANGUÁ,-40.9926511,-3.7300232
 CE-TRAIRI,1065,231350, CE,TRAIRI,TRAIRI,-39.2650652,-3.2742683
 CE-TURURU,1066,231355, CE,TURURU,TURURU,-39.4336292,-3.5982866
 CE-UBAJARA,1067,231360, CE,UBAJARA,UBAJARA,-40.9183489,-3.8530587
 CE-UMARI,1068,231370, CE,UMARI,UMARI,72.7178441,24.0414532
 CE-UMIRIM,1069,231375, CE,UMIRIM,UMIRIM,-39.3486564,-3.6781355
 CE-URUBURETAMA,1070,231380, CE,URUBURETAMA,URUBURETAMA,-39.5063895,-3.6242211
 CE-URUOCA,1071,231390, CE,URUOCA,URUOCA,-40.5582923,-3.3129455
 CE-VARJOTA,1072,231395, CE,VARJOTA,VARJOTA,-40.4735933,-4.1958372
 CE-VÁRZEA ALEGRE,1073,231400, CE,VÁRZEA ALEGRE,VÁRZEA ALEGRE,-39.2982254,-6.7943447
 CE-VIÇOSA DO CEARÁ,1074,231410, CE,VIÇOSA DO CEARÁ,VIÇOSA DO CEARÁ,-41.0919197,-3.5670807
 RN-ACARI,1075,240010, RN,ACARI,ACARI,-72.4276712,41.3665623
 RN-AÇU,1076,240020, RN,AÇU,AÇU,-99.708098,32.469732
 RN-AFONSO BEZERRA,1077,240030, RN,AFONSO BEZERRA,AFONSO BEZERRA,-36.5072099,-5.4999078
 RN-ÁGUA NOVA,1078,240040, RN,ÁGUA NOVA,ÁGUA NOVA,-38.2944834,-6.203913
 RN-ALEXANDRIA,1079,240050, RN,ALEXANDRIA,ALEXANDRIA,-77.0469214,38.8048355
 RN-ALMINO AFONSO,1080,240060, RN,ALMINO AFONSO,ALMINO AFONSO,-37.766239,-6.1578113
 RN-ALTO DO RODRIGUES,1081,240070, RN,ALTO DO RODRIGUES,ALTO DO RODRIGUES,-36.7172882,-5.3675174
 RN-ANGICOS,1082,240080, RN,ANGICOS,ANGICOS,-36.6525696,-5.5967043
 RN-ANTÔNIO MARTINS,1083,240090, RN,ANTÔNIO MARTINS,ANTÔNIO MARTINS,-122.406274,37.767406
 RN-APODI,1084,240100, RN,APODI,APODI,NA,NA
 RN-AREIA BRANCA,1085,240110, RN,AREIA BRANCA,AREIA BRANCA,-9.333571,39.2659327
 RN-ARÊS,1086,240120, RN,ARÊS,ARÊS,-35.1620349,-6.1967138
 RN-AUGUSTO SEVERO,1087,240130, RN,AUGUSTO SEVERO,AUGUSTO SEVERO,-37.3117889,-5.8625252
 RN-BAÍA FORMOSA,1088,240140, RN,BAÍA FORMOSA,BAÍA FORMOSA,-35.0050456,-6.3710438
 RN-BARAÚNA,1089,240145, RN,BARAÚNA,BARAÚNA,-37.6173941,-5.0791158
 RN-BARCELONA,1090,240150, RN,BARCELONA,BARCELONA,2.1734035,41.3850639
 RN-BENTO FERNANDES,1091,240160, RN,BENTO FERNANDES,BENTO FERNANDES,-35.8061779,-5.6747298
 RN-BODÓ,1092,240165, RN,BODÓ,BODÓ,14.4049539,67.2803543
 RN-BOM JESUS,1093,240170, RN,BOM JESUS,BOM JESUS,-79.702881,43.432738
 RN-BREJINHO,1094,240180, RN,BREJINHO,BREJINHO,-37.3292861,-7.3394239
 RN-CAIÇARA DO NORTE,1095,240185, RN,CAIÇARA DO NORTE,CAIÇARA DO NORTE,-36.0497976,-5.0628912
 RN-CAIÇARA DO RIO DO VENTO,1096,240190, RN,CAIÇARA DO RIO DO VENTO,CAIÇARA DO RIO DO VENTO,-36.0015369,-5.7571455
 RN-CAICÓ,1097,240200, RN,CAICÓ,CAICÓ,-37.0936867,-6.4599655
 RN-CAMPO REDONDO,1098,240210, RN,CAMPO REDONDO,CAMPO REDONDO,-36.1829842,-6.242127
 RN-CANGUARETAMA,1099,240220, RN,CANGUARETAMA,CANGUARETAMA,-35.1301043,-6.3810573
 RN-CARAÚBAS,1100,240230, RN,CARAÚBAS,CARAÚBAS,-37.5598274,-5.7851377
 RN-CARNAÚBA DOS DANTAS,1101,240240, RN,CARNAÚBA DOS DANTAS,CARNAÚBA DOS DANTAS,-36.5915003,-6.5565353
 RN-CARNAUBAIS,1102,240250, RN,CARNAUBAIS,CARNAUBAIS,-36.8333578,-5.3393443
 RN-CEARÁ-MIRIM,1103,240260, RN,CEARÁ-MIRIM,CEARÁ-MIRIM,-35.4237292,-5.6395379
 RN-CERRO CORÁ,1104,240270, RN,CERRO CORÁ,CERRO CORÁ,-36.3465789,-6.0352549
 RN-CORONEL EZEQUIEL,1105,240280, RN,CORONEL EZEQUIEL,CORONEL EZEQUIEL,-36.1979764,-6.3489502
 RN-CORONEL JOÃO PESSOA,1106,240290, RN,CORONEL JOÃO PESSOA,CORONEL JOÃO PESSOA,-38.4432844,-6.2608662
 RN-CRUZETA,1107,240300, RN,CRUZETA,CRUZETA,-36.7876374,-6.4123259
 RN-CURRAIS NOVOS,1108,240310, RN,CURRAIS NOVOS,CURRAIS NOVOS,-36.521055,-6.25791
 RN-DOUTOR SEVERIANO,1109,240320, RN,DOUTOR SEVERIANO,DOUTOR SEVERIANO,-38.3759661,-6.0956775
 RN-PARNAMIRIM,1110,240325, RN,PARNAMIRIM,PARNAMIRIM,-35.2713164,-5.9115545
 RN-ENCANTO,1111,240330, RN,ENCANTO,ENCANTO,-117.0617553,32.7117391
 RN-EQUADOR,1112,240340, RN,EQUADOR,EQUADOR,-78.183406,-1.831239
 RN-ESPÍRITO SANTO,1113,240350, RN,ESPÍRITO SANTO,ESPÍRITO SANTO,-40.3088626,-19.1834229
 RN-EXTREMOZ,1114,240360, RN,EXTREMOZ,EXTREMOZ,-35.3032689,-5.7059334
 RN-FELIPE GUERRA,1115,240370, RN,FELIPE GUERRA,FELIPE GUERRA,-37.6972443,-5.5972266
 RN-FERNANDO PEDROZA,1116,240375, RN,FERNANDO PEDROZA,FERNANDO PEDROZA,-74.0548871,4.672137
 RN-FLORÂNIA,1117,240380, RN,FLORÂNIA,FLORÂNIA,-36.818227,-6.127052
 RN-FRANCISCO DANTAS,1118,240390, RN,FRANCISCO DANTAS,FRANCISCO DANTAS,-38.1234684,-6.0882496
 RN-FRUTUOSO GOMES,1119,240400, RN,FRUTUOSO GOMES,FRUTUOSO GOMES,-37.8378324,-6.1570849
 RN-GALINHOS,1120,240410, RN,GALINHOS,GALINHOS,-36.2196853,-5.1425138
 RN-GOIANINHA,1121,240420, RN,GOIANINHA,GOIANINHA,-35.2103073,-6.2658915
 RN-GOVERNADOR DIX-SEPT ROSADO,1122,240430, RN,GOVERNADOR DIX-SEPT ROSADO,GOVERNADOR DIX-SEPT ROSADO,-37.5211978,-5.457887
 RN-GROSSOS,1123,240440, RN,GROSSOS,GROSSOS,-89.0065912,40.4640551
